,State,Year,Month,Day,Total_Cases,Total_Deaths,Total_Positives,Total_Negatives,Vaccine_Dist,Vaccine_Admin,Vaccine_Int,Vaccine_Complete,Add_Dose,Monthly Cases,Monthly Deaths,Monthly Positive,Monthly Negatives,Monthly Vaccine Completed
37,AR,2021,11,30,528838.0,8667.0,327751.0,3551206.0,4857070.0,3524081.0,1824522.0,1488357.0,312682.0,15623.0,291.0,8378.0,131618.0,38701.0
38,AR,2021,12,31,566486.0,9148.0,352960.0,3725653.0,4989160.0,3800300.0,1892990.0,1545572.0,467409.0,37648.0,481.0,25209.0,174447.0,57215.0
39,AZ,2020,12,31,522488.0,8879.0,574089.0,4131454.0,298150.0,43667.0,0.0,0.0,0.0,-43998.0,-269.0,221129.0,405801.0,-1545572.0
40,AZ,2021,1,31,757235.0,13120.0,785858.0,5085978.0,1013375.0,594104.0,0.0,0.0,0.0,234747.0,4241.0,211769.0,954524.0,0.0
41,AZ,2021,2,28,815891.0,15980.0,840956.0,5701113.0,2148015.0,1792447.0,1220706.0,0.0,0.0,58656.0,2860.0,55098.0,615135.0,0.0
42,AZ,2021,3,31,840470.0,16967.0,863575.0,6237296.0,4304045.0,3451567.0,2157694.0,1242599.0,0.0,24579.0,987.0,22619.0,536183.0,1242599.0
43,AZ,2021,4,30,861156.0,17324.0,884691.0,6712191.0,6610725.0,5070403.0,2960823.0,2106896.0,0.0,20686.0,357.0,21116.0,474895.0,864297.0
44,AZ,2021,5,31,880109.0,17628.0,902753.0,7099956.0,7807315.0,5967929.0,3371853.0,2624164.0,0.0,18953.0,304.0,18062.0,387765.0,517268.0
45,AZ,2021,6,30,893534.0,17936.0,916084.0,7399513.0,8111060.0,6496635.0,3607576.0,2929104.0,0.0,13425.0,308.0,13331.0,299557.0,304940.0
46,AZ,2021,7,31,925894.0,18246.0,953900.0,7729285.0,8577780.0,7099611.0,3862065.0,3294048.0,0.0,32360.0,310.0,37816.0,329772.0,364944.0
47,AZ,2021,8,31,1010582.0,18786.0,1048783.0,8490145.0,9336690.0,7573202.0,4126485.0,3485349.0,0.0,84688.0,540.0,94883.0,760860.0,191301.0
48,AZ,2021,9,30,1092242.0,19984.0,1127883.0,9165125.0,9852670.0,8214287.0,4315832.0,3718393.0,0.0,81660.0,1198.0,79100.0,674980.0,233044.0
